,,GWRV Last (V),PSV Last (V),G1R Last,G2R Last,G3R Last
96:03:13,345793,1.685,8.662,62.5,62.3,63.6
96:03:14,345794,1.681,8.662,62.5,62.3,67.9
96:03:15,345795,1.681,8.662,62.5,62.3,67.9
96:03:16,345796,1.683,8.662,62.5,62.3,67.9
96:03:17,345797,1.683,8.663,62.5,62.3,67.9
96:03:18,345798,1.681,8.662,62.5,62.3,67.9
96:03:19,345799,1.676,8.663,62.5,62.3,67.9
96:03:20,345800,1.677,8.663,62.5,62.3,67.9
96:03:21,345801,1.683,8.663,62.5,62.3,67.9
96:03:22,345802,1.674,8.663,62.5,62.3,67.9
96:03:23,345803,1.676,8.663,62.5,62.3,67.9
96:03:24,345804,1.671,8.663,62.6,62.3,67.9
96:03:25,345805,1.671,8.663,62.6,62.3,67.9
96:03:26,345806,1.669,8.663,62.6,62.3,67.9
96:03:27,345807,1.669,8.664,62.6,62.3,67.9
96:03:28,345808,1.667,8.663,62.6,62.4,67.9
96:03:29,345809,1.667,8.663,63.9,62.4,67.9
96:03:30,345810,1.667,8.663,68.1,62.4,67.9
96:03:31,345811,1.667,8.663,68.1,62.4,67.9
96:03:32,345812,1.665,8.663,68.1,62.4,67.9
96:03:33,345813,1.662,8.663,68.1,65.0,67.9
96:03:34,345814,1.662,8.663,68.1,68.0,67.9
96:03:35,345815,1.663,8.663,68.1,68.0,67.9
96:03:36,345816,1.660,8.663,68.1,68.0,67.9
96:03:37,345817,1.656,8.663,68.1,68.0,67.9
96:03:38,345818,1.657,8.663,68.1,68.0,67.9
96:03:39,345819,1.656,8.663,68.1,68.0,67.9
96:03:40,345820,1.655,8.663,68.1,68.0,67.9
96:03:41,345821,1.652,8.663,68.1,68.0,67.9
96:03:42,345822,1.652,8.663,68.1,68.0,67.9
96:03:43,345823,1.653,8.663,68.1,68.0,67.9
96:03:44,345824,1.653,8.663,68.1,68.0,67.9
96:03:45,345825,1.649,8.664,68.1,68.0,67.9
96:03:46,345826,1.646,8.663,68.1,68.0,67.9
96:03:47,345827,1.646,8.664,68.1,68.0,67.9
96:03:48,345828,1.644,8.663,68.1,68.0,67.9
96:03:49,345829,1.643,8.665,68.1,68.0,67.9
96:03:50,345830,1.645,8.665,68.1,68.0,67.9
96:03:51,345831,1.643,8.663,68.1,68.0,67.9
96:03:52,345832,1.643,8.663,68.1,68.0,67.9
96:03:53,345833,1.641,8.664,68.1,68.0,67.9
96:03:54,345834,1.636,8.663,68.2,68.0,67.9
96:03:55,345835,1.634,8.663,68.1,68.0,67.9
96:03:56,345836,1.636,8.663,68.1,68.0,68.0
96:03:57,345837,1.634,8.663,68.1,68.0,68.0
96:03:58,345838,1.634,8.663,68.1,68.0,73.4
96:03:59,345839,1.631,8.662,68.1,68.0,73.4
96:04:00,345840,1.629,8.662,68.2,68.0,73.4
96:04:01,345841,1.629,8.663,68.1,68.0,73.4
96:04:02,345842,1.629,8.664,68.1,68.0,73.4
96:04:03,345843,1.627,8.663,68.1,68.0,73.4
96:04:04,345844,1.620,8.663,68.1,68.0,73.4
96:04:05,345845,1.620,8.664,68.2,68.0,73.4
96:04:06,345846,1.620,8.663,68.1,68.0,73.4
96:04:07,345847,1.620,8.664,68.2,68.0,73.4
96:04:08,345848,1.622,8.662,68.2,68.0,73.4
96:04:09,345849,1.615,8.663,68.1,68.0,73.4
96:04:10,345850,1.607,8.663,68.1,68.0,73.4
96:04:11,345851,1.617,8.663,68.2,68.0,73.4
96:04:12,345852,1.615,8.662,68.2,68.0,73.4
96:04:13,345853,1.615,8.664,68.2,68.0,73.4
96:04:14,345854,1.607,8.663,68.2,68.0,73.4
96:04:15,345855,1.610,8.664,68.2,68.0,73.4
96:04:16,345856,1.605,8.665,73.6,68.0,73.4
96:04:17,345857,1.607,8.664,73.6,68.0,73.4
96:04:18,345858,1.603,8.664,73.6,68.1,73.3
96:04:19,345859,1.602,8.664,73.6,68.3,73.4
96:04:20,345860,1.598,8.663,73.6,73.4,73.4
96:04:21,345861,1.600,8.665,73.6,73.4,73.4
96:04:22,345862,1.593,8.663,73.6,73.4,73.4
96:04:23,345863,1.595,8.666,73.6,73.4,73.4
96:04:24,345864,1.595,8.661,73.7,73.4,73.4
96:04:25,345865,1.600,8.664,73.7,73.4,73.4
96:04:26,345866,1.593,8.663,73.6,73.4,73.4
